scenario;year;kmuoto;teoll_kaivos;teoll_elint;teoll_tekst;teoll_puu;teoll_paper;teoll_kemia;teoll_miner;teoll_mjalos;teoll_metal;teoll_kone;teoll_muu;teoll_energ;teoll_vesi;teoll_yhdysk;varast;teoll
eu80;2019;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;35;162
eu80;2020;pauto;0;7;13;0;0;4;1;0;6;6;12;0;1;1;25;12
eu80;2020;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;35;162
eu80;2021;pauto;0;7;13;0;0;4;1;0;6;6;12;0;1;1;25;12
eu80;2021;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;35;162
eu80;2022;pauto;0;7;13;0;0;4;1;0;6;6;12;0;1;1;25;12
eu80;2022;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;36;162
eu80;2023;pauto;0;7;13;0;0;4;1;0;6;6;12;0;1;1;26;12
eu80;2023;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;36;162
eu80;2024;pauto;0;7;13;0;0;4;1;0;6;6;12;0;1;1;26;12
eu80;2024;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;36;162
eu80;2025;pauto;0;7;13;0;0;4;1;0;6;6;12;0;1;1;26;12
eu80;2025;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;37;162
eu80;2026;pauto;0;7;13;0;0;4;1;0;6;6;12;0;1;1;26;12
eu80;2026;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;37;162
eu80;2027;pauto;0;7;14;0;0;4;1;0;6;6;12;0;1;1;26;13
eu80;2027;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;38;162
eu80;2028;pauto;0;7;14;0;0;4;1;0;6;6;12;0;1;1;26;13
eu80;2028;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;38;162
eu80;2029;pauto;0;7;14;0;0;4;1;0;6;6;12;0;1;1;26;13
eu80;2029;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;38;162
eu80;2030;pauto;0;7;14;0;0;4;1;0;6;6;12;0;1;1;26;13
eu80;2030;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;39;162
eu80;2031;pauto;0;7;14;0;0;4;1;0;6;6;12;0;1;1;27;13
eu80;2031;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;39;162
eu80;2032;pauto;0;7;14;0;0;4;1;0;6;6;12;0;1;1;27;13
eu80;2032;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;39;162
eu80;2033;pauto;0;7;14;0;0;4;1;0;7;6;12;0;1;1;27;13
eu80;2033;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;40;162
eu80;2034;pauto;0;7;14;0;0;4;1;0;7;6;12;0;1;1;27;13
eu80;2034;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;40;162
eu80;2035;pauto;0;7;14;0;0;4;1;0;7;6;12;0;1;1;27;13
eu80;2035;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;41;162
eu80;2036;pauto;0;7;14;0;0;4;1;0;7;6;13;0;1;1;27;13
eu80;2036;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;41;162
eu80;2037;pauto;0;7;14;0;0;4;1;0;7;6;13;0;1;1;27;13
eu80;2037;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;41;162
eu80;2038;pauto;0;7;14;0;0;4;1;0;7;6;13;0;1;1;27;13
eu80;2038;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;42;162
eu80;2039;pauto;0;7;14;0;0;4;1;0;7;6;13;0;1;1;28;13
eu80;2039;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;42;162
eu80;2040;pauto;0;7;14;0;0;4;1;0;7;6;13;0;1;1;28;13
eu80;2040;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;43;162
eu80;2041;pauto;0;7;14;0;0;4;1;0;7;6;13;0;1;1;28;13
eu80;2041;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;43;162
eu80;2042;pauto;0;7;15;0;0;4;1;0;7;6;13;0;1;1;28;13
eu80;2042;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;44;162
eu80;2043;pauto;0;7;15;0;0;4;1;0;7;6;13;0;1;1;28;13
eu80;2043;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;44;162
eu80;2044;pauto;0;8;15;0;0;4;1;0;7;6;13;0;1;1;28;14
eu80;2044;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;44;162
eu80;2045;pauto;0;8;15;0;0;4;1;0;7;7;13;0;1;1;28;14
eu80;2045;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;45;162
eu80;2046;pauto;0;8;15;0;0;5;1;0;7;7;13;0;1;1;29;14
eu80;2046;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;45;162
eu80;2047;pauto;0;8;15;0;0;5;1;0;7;7;13;0;1;1;29;14
eu80;2047;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;46;162
eu80;2048;pauto;0;8;15;0;0;5;1;0;7;7;13;0;1;1;29;14
eu80;2048;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;46;162
eu80;2049;pauto;0;8;15;0;0;5;1;0;7;7;13;0;1;1;29;14
eu80;2049;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;47;162
eu80;2050;pauto;0;8;15;0;0;5;1;0;7;7;13;0;1;1;29;14
eu80;2050;kauto;22;68;46;65;73;67;37;49;49;24;39;36;39;37;47;162
